Project,MethodName,Release,LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient(String, String, String)",4.0.0,20,2,3,0,2,2,156,19,0,87.5,no
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle(),4.0.0,3,1,0,0,2,2,168,11,0,89.5,no
BOOKKEEPER,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main(String[]),4.0.0,20,5,1,1,2,2,202,12,0,107.0,no
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch(byte[], int)",4.0.0,14,2,2,1,2,2,171,1,0,86.0,no
BOOKKEEPER,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry(byte[], int)",4.0.0,11,2,2,1,2,2,171,1,0,86.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/NoLedgerException(long),4.0.0,3,1,1,0,1,1,200,0,0,200.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerId(),4.0.0,3,1,0,0,1,1,200,0,0,200.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/NoEntryException(long, long)",4.0.0,5,1,2,0,2,2,222,0,0,111.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedger(),4.0.0,3,1,0,0,2,2,222,0,0,111.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getEntry(),4.0.0,3,1,0,0,3,2,223,1,0,74.66666666666667,no
