LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
0.414625,0.161286,0.590162,0,0.35586,0.531949,0.248475,0.332665,0,0.266493,no
0.043645,0,0,0,0.35586,0.531949,0.267588,0.192596,0,0.272585,no
0.414625,0.645144,0.196721,0.172227,0.35586,0.531949,0.321743,0.210104,0,0.325883,no
0.283691,0.161286,0.393442,0.172227,0.35586,0.531949,0.272367,0.017509,0,0.261925,no
0.218224,0.161286,0.393442,0.172227,0.35586,0.531949,0.272367,0.017509,0,0.261925,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.087289,0,0.393442,0,0.35586,0.531949,0.353599,0,0,0.338066,no
0.043645,0,0,0,0.35586,0.531949,0.353599,0,0,0.338066,no
0.043645,0,0,0,0.53379,0.531949,0.355192,0.017509,0,0.227408,no
0.130934,0.161286,0.196721,0.172227,0.53379,0.797923,0.342449,0,0,0.218271,no
1,1,0,1,1,0.797923,0.423682,0.227613,0.642074,0.106217,no
0.152756,0.161286,0.196721,0.172227,0.71172,0.531949,0.390233,0.017509,0,0.187307,no
0.174579,0.161286,0,0.172227,0.88965,0.797923,0.431646,0.280139,0,0.17482,no
1,1,0.196721,1,1,0.797923,0.705605,1,0.642074,0.231468,no
0.130934,0.161286,0.196721,0.172227,0.71172,0.531949,0.52562,1,0,0.299234,no
0,0,0.196721,0,0.35586,0.531949,0.348821,0.035017,0,0.336543,no
0.436447,0.483858,0.393442,0.688907,0.71172,0.797923,0.353599,0.087543,0,0.17284,no
0.196401,0.161286,0.196721,0.172227,0.35586,0.531949,0.339264,0.052526,0,0.328929,no
0.349158,0.322572,0.196721,0.172227,0.35586,0.531949,0.336078,0.017509,0,0.322838,no
0.698315,0.80643,0.393442,0.688907,0.53379,0.531949,0.442795,0.035017,0.642074,0.284259,no
0.523737,0.80643,0.196721,0.688907,0.53379,0.531949,0.434831,0.017509,0.642074,0.278168,no
0.894717,0.80643,0.196721,0.344454,0.71172,0.797923,0.445981,0.052526,0,0.215479,yes
0.305513,0.161286,0.196721,0.172227,0.35586,0.531949,0.321743,0.035017,0,0.310655,no
0.218224,0.322572,0.393442,0.344454,0.17793,0.265974,0.012742,0.035017,0,0.030456,no
0.087289,0,0.196721,0,0.17793,0.265974,0.012742,0.035017,0,0.030456,no
0.698315,0.645144,0.590162,0.688907,0.35586,0.265974,0.015928,0.070035,0,0.021319,yes
0.632848,0.483858,0.393442,0.51668,0.17793,0.265974,0.044598,0,0,0.085278,no
0.043645,0,0.393442,0,0.17793,0.265974,0.022299,0,0,0.042639,no
0.152756,0,0.983604,0,0.17793,0.265974,0.022299,0,0,0.042639,no
0.065467,0,0.393442,0,0.17793,0.265974,0.050969,0.210104,0,0.134008,no
0.065467,0,0.393442,0,0.17793,0.265974,0.050969,0.210104,0,0.134008,no
0.043645,0,0,0,0.17793,0.265974,0.050969,0.210104,0,0.134008,no
0.480092,0.322572,0,0.344454,0.17793,0.265974,0.052562,0.210104,0,0.137054,no
0.480092,0.483858,0,0.51668,0.17793,0.265974,0.015928,0,0,0.030456,no
0.174579,0,0,0,0.17793,0.265974,0.007964,0,0,0.015228,no
0.043645,0,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,0,no
1,1,0,1,0.71172,0.531949,0.114681,0.227613,0,0.06472,no
0.043645,0,0.196721,0,0,0,0,0,0,0,no
0.218224,0.161286,0.393442,0,0,0,0,0,0,0,no
0.392802,0.322572,0,0.51668,0.17793,0.265974,0.003186,0,0,0.006091,no
0.218224,0.161286,0.393442,0.172227,0,0,0,0,0,0,yes
0.240046,0.161286,0.786883,0.172227,0,0,0,0,0,0,no
0.218224,0,0.786883,0,0,0,0,0,0,0,no
0.305513,0.161286,0.786883,0.172227,0,0,0,0,0,0,no
0.109112,0,0.196721,0,0,0,0,0,0,0,yes
0.218224,0.161286,0.393442,0.172227,0,0,0,0,0,0,yes
0.109112,0.161286,0.983604,0.172227,0.17793,0.265974,0.001593,0.017509,0,0.006091,yes
0.043645,0,0,0,0,0,0,0,0,0,no
0.087289,0.161286,0,0.172227,0,0,0,0,0,0,no
0.37098,0.161286,0.196721,0.172227,0.17793,0.265974,0.003186,0.035017,0,0.012183,yes
0.043645,0,0.196721,0,0.35586,0.531949,0.130609,0.017509,0,0.126394,no
0.196401,0.483858,0.196721,0.51668,0.53379,0.797923,0.138573,0.070035,0,0.092384,yes
0.043645,0,0.196721,0,0.35586,0.531949,0.132201,0.035017,0,0.12944,no
0.043645,0,0,0,0.35586,0.531949,0.133794,0.052526,0,0.132485,no
0.240046,0.645144,0.196721,0.688907,0.53379,0.797923,0.13698,0.052526,0,0.090354,yes
0.043645,0,0,0,0.35586,0.531949,0.130609,0.017509,0,0.126394,no
0.043645,0,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0.17793,0.265974,0.009557,0,0,0.018274,no
0.109112,0,0.393442,0,0.53379,0.531949,0.277145,0.087543,0,0.181723,no
0.043645,0,0,0,0.35586,0.531949,0.280331,0,0,0.268016,no
0.501914,0.645144,0.196721,0.688907,0.35586,0.531949,0.272367,0.052526,0,0.26497,no
0.043645,0,0,0,0.17793,0.265974,0.267588,0,0,0.511667,no
0.043645,0,0,0,0.17793,0.265974,0.267588,0,0,0.511667,no
0.283691,0.322572,0.196721,0.344454,0.17793,0.265974,0.267588,0,0,0.511667,no
1,1,0.393442,1,0.53379,0.531949,0.275552,0.035017,1,0.177662,no
0.480092,0.161286,0.393442,0.344454,0.35586,0.531949,0.328114,0.070035,0,0.319792,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.501914,0.483858,0,0.344454,0.53379,0.531949,0.396604,0.26263,0,0.268016,no
0.261868,0.161286,0,0,0.53379,0.797923,0.393419,0.227613,0,0.263955,no
0.152756,0.161286,0.196721,0,0.35586,0.531949,0.391826,0.210104,0,0.392887,no
0.763782,0.80643,0,0.861134,0.71172,0.797923,0.418903,1,0,0.272585,no
0.349158,0.161286,0.196721,0.344454,0.53379,0.531949,0.334485,0.017509,0,0.21421,no
0.283691,0.161286,0.393442,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.458269,0.645144,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,yes
0.043645,0,0,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.087289,0.161286,0,0.172227,0.17793,0.265974,0.318558,0,0,0.609127,no
0.283691,0.161286,0.393442,0.172227,0.17793,0.265974,0.318558,0,0,0.609127,no
0.894717,0.967716,0.590162,0.861134,0.53379,0.797923,0.324929,0.070035,0,0.211164,no
0.436447,0.322572,0.196721,0.344454,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
