LOC,CyclomaticComplexity,ParameterCount,Duplication,NR,NAuth,stmtAdded,stmtDeleted,maxChurn,avgChurn,IsBuggy
0.44814,0.472172,0.473728,0,0.088771,0.251693,0.147443,0,0.5,0.343511,no
0.19206,0,0,0,0.088771,0.251693,0.147443,0,0.5,0.343511,no
0.563376,0.354129,0.236864,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.12804,0,0.473728,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.115236,0,0.473728,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.524964,0.118043,0.473728,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.422532,0.354129,0.236864,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.166452,0.354129,0.236864,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.524964,0.708258,0.236864,0,0.088771,0.251693,0.148918,0,0.505,0.346947,no
0.102432,0.118043,0.236864,0,0.088771,0.251693,0.148918,0,0.505,0.346947,no
0.140844,0.118043,0.473728,0,0.088771,0.251693,0.262449,0,0.89,0.61145,no
0.038412,0,0,0,0.088771,0.251693,0.262449,0,0.89,0.61145,no
0.243276,0.472172,0.236864,0,0.088771,0.251693,0.262449,0,0.89,0.61145,no
0.051216,0,0,0,0.088771,0.251693,0.262449,0,0.89,0.61145,no
0.19206,0.236086,0.236864,0,0.088771,0.251693,0.262449,0,0.89,0.61145,no
0.422532,0.354129,0.236864,0,0.088771,0.251693,0.262449,0,0.89,0.61145,no
0.038412,0,0.236864,0,0.088771,0.251693,0.066349,0,0.225,0.15458,no
0.038412,0,0,0.008859,0.088771,0.251693,0.066349,0,0.225,0.15458,no
0.038412,0,0,0.008859,0.088771,0.251693,0.066349,0,0.225,0.15458,no
0.076824,0,0.236864,0,0.177542,0.503386,0.050131,0.007408,0.165,0.060114,no
0.051216,0,0.710592,0,0.088771,0.251693,0.110582,0,0.375,0.257634,no
0.06402,0,1,0,0.177542,0.503386,0.112057,0.007408,0.375,0.132252,no
0.025608,0,0,0,0.088771,0.251693,0.110582,0,0.375,0.257634,no
0.153648,0,0.473728,0,0.177542,0.503386,0.11648,0,0.375,0.135687,no
0.140844,0,0,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.038388,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.032482,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.002953,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.002953,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.153551,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.094493,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.002953,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.153551,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.094493,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.002953,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.153551,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.094493,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.153551,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.094493,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.153551,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.094493,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0,0.153551,0.088771,0.251693,0.294887,0,1,0.687023,no
0.038412,0,0.236864,0.094493,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.106305,0.088771,0.251693,0.294887,0,1,0.687023,no
0.025608,0,0.236864,0.106305,0,0,0,0,0,0,no
0.025608,0,0,0.153551,0,0,0,0,0,0,no
0.025608,0,0.236864,0.094493,0,0,0,0,0,0,no
0.025608,0,0.236864,0.106305,0,0,0,0,0,0,no
0.025608,0,0.236864,0.106305,0,0,0,0,0,0,no
0.025608,0,0,0.153551,0,0,0,0,0,0,no
0.025608,0,0.236864,0.094493,0,0,0,0,0,0,no
0.06402,0,0,0,0,0,0,0,0,0,no
0.06402,0,0,0.014765,0.088771,0.251693,0.128276,0,0.435,0.298855,no
0.025608,0,0,0.826813,0.088771,0.251693,0.128276,0,0.435,0.298855,no
0.025608,0,0.236864,0.531523,0.088771,0.251693,0.128276,0,0.435,0.298855,no
0.025608,0,0.236864,0.106305,0.088771,0.251693,0.128276,0,0.435,0.298855,no
0.025608,0,0.236864,0.106305,0.088771,0.251693,0.128276,0,0.435,0.298855,no
